Column1.1,Column1.2,Column1.3,Column1.4,Column1.5
1, Fitness Enthusiasts, Consumers using fitness tracking apps and websites.,26-05-2016 14:57,23-05-2018 11:30
2, Gamers, Consumers researching game reviews and cheat codes.,26-05-2016 14:57,23-05-2018 11:30
3, Car Enthusiasts, Readers of automotive news and car reviews.,26-05-2016 14:57,23-05-2018 11:30
4, Luxury Retail Researchers, Consumers researching luxury product reviews and gift ideas.,26-05-2016 14:57,23-05-2018 11:30
5, Brides & Wedding Planners, People researching wedding ideas and vendors.,26-05-2016 14:57,23-05-2018 11:30
6, Vacation Planners, Consumers reading reviews of vacation destinations and accommodations.,26-05-2016 14:57,23-05-2018 11:30
7, Motorcycle Enthusiasts, Readers of motorcycle news and reviews.,26-05-2016 14:57,23-05-2018 11:30
8, Business News Readers, Readers of online business news content.,26-05-2016 14:57,23-05-2018 11:30
12, Thrift Store Shoppers, Consumers shopping online for clothing at thrift stores and researching locations.,26-05-2016 14:57,16-03-2018 13:14
13, Advertising Professionals, People who read advertising industry news.,26-05-2016 14:57,23-05-2018 11:30
14, NFL Fans, People reading articles and websites about football and the NFL.,26-05-2016 14:57,23-05-2018 11:30
15, NBA Fans, People reading articles and websites about basketball and the NBA.,26-05-2016 14:57,23-05-2018 11:30
16, NCAA Fans, People reading articles and websites about college sports and the NCAA.,26-05-2016 14:57,23-05-2018 11:30
17, MLB Fans, People reading articles and websites about baseball and the MLB.,26-05-2016 14:57,23-05-2018 11:30
18, Nascar Fans, People reading articles and websites about nascar.,26-05-2016 14:57,23-05-2018 11:30
19, Eco-Conscious Consumers, People researching climate change and sustainable living.,26-05-2016 14:57,23-05-2018 11:30
20, Moviegoers, Consumers researching box office listings and buying movie tickets.,26-05-2016 14:57,23-05-2018 11:30
21, DIYers, Consumers researching DIY projects.,26-05-2016 14:57,23-05-2018 11:30
22, Grill Masters, Grill owners researching new recipes.,26-05-2016 14:57,23-05-2018 11:30
23, Techies, Readers of tech news and gadget reviews.,26-05-2016 14:57,23-05-2018 11:30
24, Home Design Enthusiasts, Consumers researching home design styles and trends.,26-05-2016 14:57,23-05-2018 11:30
25, Doctors, People reading medical journals and using online prescribing services.,26-05-2016 14:57,23-05-2018 11:30
26, Streaming Video Fans, Consumers streaming feature length movies and TV shows.,26-05-2016 14:57,23-05-2018 11:30
27, Auto Insurance Shoppers, Consumers shopping for auto insurance.,26-05-2016 14:57,23-05-2018 11:30
28, Teachers, People reading education industry publications and teaching advice websites.,26-05-2016 14:57,23-05-2018 11:30
29, College Students, People visiting university websites.,26-05-2016 14:57,23-05-2018 11:30
30, Department Store Shoppers, Consumes shopping at multi-category department stores.,26-05-2016 14:57,23-05-2018 11:30
31, Home Decor Shoppers," Consumers shopping for home design, art and accessories.",26-05-2016 14:57,23-05-2018 11:30
33, Kids Clothing Shoppers, Consumers shopping for childrens apparel.,26-05-2016 14:57,23-05-2018 11:30
34, Teen Girl Clothing Shoppers, Consumers in-market for clothing for teenage girls.,26-05-2016 14:57,23-05-2018 11:30
35, Mens Clothing Shoppers, Consumers in-market for mens clothing.,26-05-2016 14:57,23-05-2018 11:30
36, Baby Products Buyers, Consumers shopping for baby-related products.,26-05-2016 14:57,23-05-2018 11:30
37, Jewelry & Watch Shoppers, Consumers researching high-end watch and jewelry brands.,26-05-2016 14:57,23-05-2018 11:30
38, Sporting Goods Shoppers, Consumers shopping for sporting goods and activewear apparel.,26-05-2016 14:57,23-05-2018 11:30
39, Furniture Shoppers, Consumers shopping for major home furnishings.,26-05-2016 14:57,23-05-2018 11:30
40, Bed & Bath Shoppers, Consumers shopping for bed and bath products.,26-05-2016 14:57,23-05-2018 11:30
41, Intimates Shoppers, Consumers shopping for lingerie.,26-05-2016 14:57,23-05-2018 11:30
42, Fast Fashion Shoppers, Consumers shopping for apparel that mimics current runway trends.,26-05-2016 14:57,23-05-2018 11:30
43, Apartment Hunters, People reading real estate rental listings.,26-05-2016 14:57,23-05-2018 11:30
44, Home Buyers, People reading real estate sales listings.,26-05-2016 14:57,23-05-2018 11:30
45, Moving Services Shoppers, Consumers who are shopping for moving services.,26-05-2016 14:57,23-05-2018 11:30
46, Job Seekers, People researching job boards.,26-05-2016 14:57,23-05-2018 11:30
48, Charitable Donors, People researching major charitable organizations.,26-05-2016 14:57,23-05-2018 11:30
49, NHL Fans, People reading articles and websites about hockey and the NHL.,26-05-2016 14:57,23-05-2018 11:30
50, Discount Big Box Shoppers, Consumers shopping at big box retailers.,26-05-2016 14:57,23-05-2018 11:30
51, Black Friday Deal Shoppers, Consumers researching holiday sales events.,26-05-2016 14:57,23-05-2018 11:30
53, Hip Hop Fans, People reading about hip hop music and hip hop stars.,26-05-2016 14:57,23-05-2018 11:30
54, Online Investors, Consumers with an active online trading account.,26-05-2016 14:57,23-05-2018 11:30
55, Seasonal Allergy Sufferers, People researching allergy trends and treatment options.,26-05-2016 14:57,23-05-2018 11:30
56, Discount Device Shoppers, Consumers shopping for discounted electronics.,26-05-2016 14:57,23-05-2018 11:30
57, Mobile Phone Comparison Shoppers, Consumers researching alternative mobile phones and wireless plans.,26-05-2016 14:57,23-05-2018 11:30
58, Budget Wireless Shoppers, Consumers researching discount wireless service plans.,26-05-2016 14:57,23-05-2018 11:30
59, Menopause Researchers, People researching menopause symptoms.,26-05-2016 14:57,23-05-2018 11:30
60, Online Health Researchers, People researching general health questions.,26-05-2016 14:57,23-05-2018 11:30
61, Beauty & Skincare Buyers, Consumers shopping for beauty and skincare products.,26-05-2016 14:57,23-05-2018 11:30
62, Streaming Device Shoppers, Consumers shopping for connected TV products.,26-05-2016 14:57,23-05-2018 11:30
63, New & Expecting Parents, People researching pregnancy issues and baby names.,26-05-2016 14:57,23-05-2018 11:30
64, High-End Kids Furniture and Clothes Shoppers, People shopping at high end childrens clothing and toy retailers.,26-05-2016 14:57,23-05-2018 11:30
65, Hands-On Parents," People reading about family cooking, parenting advice and childrens activities.",26-05-2016 14:57,23-05-2018 11:30
66, Fantasy & Comic Fans, Consumers of online comics and fantasy novels.,26-05-2016 14:57,23-05-2018 11:30
67, Lawyers, People reading legal journals and industry publications.,26-05-2016 14:57,23-05-2018 11:30
69, Healthy Eaters, People researching healthy eating options.,26-05-2016 14:57,23-05-2018 11:30
70, Drug Store Shoppers, Consumers shopping online or searching for a local drug store.,26-05-2016 14:57,23-05-2018 11:30
71, Lawn & Garden Enthusiasts, Consumers reseraching lawn and garden maintenance techniques.,26-05-2016 14:57,23-05-2018 11:30
72, Nurses, People reading websites about nursing lifestyle and career advice.,26-05-2016 14:57,23-05-2018 11:30
73, Mailing & Shipping Shoppers, Consumers shopping for shipping supplies and postage.,26-05-2016 14:57,23-05-2018 11:30
74, Office Supply Shoppers, Individuals in-market for office supplies.,26-05-2016 14:57,23-05-2018 11:30
75, Ink & Toner Shoppers, Consumers shopping for printer ink.,26-05-2016 14:57,23-05-2018 11:30
77, Luxury Retail Shoppers, Consumers shopping for high end fashion apparel and accessories.,26-05-2016 14:57,23-05-2018 11:30
78, Contractors & Construction Professionals, People reading contractor trade publications.,26-05-2016 14:57,23-05-2018 11:30
79, Luxury Travel Researchers, Consumers reading online reviews of luxury travel options.,26-05-2016 14:57,23-05-2018 11:30
80, Democrats, People reading Democratic party advocacy websites.,26-05-2016 14:57,23-05-2018 11:30
81, Republicans, People reading Republican party advocacy websites.,26-05-2016 14:57,23-05-2018 11:30
82, HDTV Researchers, Consumers shopping for a new TV.,26-05-2016 14:57,23-05-2018 11:30
83, Hardware Shoppers, Consumers shopping at hardware and home supply stores.,26-05-2016 14:57,23-05-2018 11:30
84, Reggaeton Fans, People reading about reggaeton music and culture.,26-05-2016 14:57,23-05-2018 11:30
85, Online Movie Downloaders, Consumers downloading feature length movies and TV shows.,26-05-2016 14:57,23-05-2018 11:30
86, Sale Seekers, Consumers researching sales events and special offers.,26-05-2016 14:57,23-05-2018 11:30
87, Theme Park Researchers, Consumers reading online reviews of theme parks and accommodations.,26-05-2016 14:57,23-05-2018 11:30
88, Ski and Snowboard Enthusiasts, Consumers reading reviews of ski resorts and snow reports.,26-05-2016 14:57,16-01-2019 09:11
89, Travel Researchers, Consumers reading reviews of travel destinations.,26-05-2016 14:57,23-05-2018 11:30
90, Coupon Researchers, Consumers researching sales and discount codes.,26-05-2016 14:57,23-05-2018 11:30
91, Parents with Toddlers, People shopping for infant and toddler supplies.,26-05-2016 14:57,23-05-2018 11:30
92, Parents with Kids, People reading about activities for young children.,26-05-2016 14:57,23-05-2018 11:30
93, Young Boomers, People researching sending children to college.,26-05-2016 14:57,23-05-2018 11:30
94, Day Care Users, People researching daycare options.,26-05-2016 14:57,23-05-2018 11:30
95, Stay-at-Home Parents, People reading about child raising advice and activities.,26-05-2016 14:57,23-05-2018 11:30
96, Exercise and Gym Researchers, People researching gyms and health clubs.,26-05-2016 14:57,23-05-2018 11:30
97, Home Kitchen Chefs, Consumers researching recipes.,26-05-2016 14:57,23-05-2018 11:30
98, Restaurant Researchers, Consumers researching local restaurant reviews.,26-05-2016 14:57,23-05-2018 11:30
99, Order-in Eaters, Consumers who order food delivery.,26-05-2016 14:57,23-05-2018 11:30
100, Nutrition Conscious Eaters, Consumer reading about healthy eating options.,26-05-2016 14:57,23-05-2018 11:30
101, Flower & Gift Basket Shoppers, Consumers shopping for flowers and gift baskets.,26-05-2016 14:57,23-05-2018 11:30
102, Plus Size Women, Consumers shopping for plus size womens apparel.,26-05-2016 14:57,23-05-2018 11:30
103, Live Concert Fans, Consumers researching live concerts and music festivals.,26-05-2016 14:57,23-05-2018 11:30
104, Country Music Fans, People reading about country music and country music stars.,26-05-2016 14:57,23-05-2018 11:30
106, Comedy Fans, Consumers of online comedy videos and articles.,26-05-2016 14:57,23-05-2018 11:30
107, Cruise Travel Intenders, Consumers visiting cruise comparison and planning sites.,26-05-2016 14:57,23-05-2018 11:30
108, Pain Medication Users, People researching pain medication options.,26-05-2016 14:57,23-05-2018 11:30
109, Joint Pain Sufferers, People researching joint pain treatment options.,26-05-2016 14:57,23-05-2018 11:30
110, Pain Management Researchers, People researching chronic pain treatment options.,26-05-2016 14:57,23-05-2018 11:30
111, Retirement Planners, People researching retirement living options.,26-05-2016 14:57,23-05-2018 11:30
112, Auto Repair Researchers, Drivers researching how to maintain their cars.,26-05-2016 14:57,23-05-2018 11:30
113, Avid Readers, Readers researching books and long form journalism.,26-05-2016 14:57,23-05-2018 11:30
114, Womens Fashion Magazine Readers, Consumers researching trending womens apparel.,26-05-2016 14:57,23-05-2018 11:30
115, Mens Shoe Shoppers, Consumers in-market for mens shoes.,26-05-2016 14:57,23-05-2018 11:30
116, Home Security Shoppers, Consumers shopping for a home security system.,26-05-2016 14:57,23-05-2018 11:30
117, Boxing Fans, People reading articles and websites about the sport of boxing.,26-05-2016 14:57,23-05-2018 11:30
118, Sleep Disorder Researchers, People researching sleep loss disorders and treatment options.,26-05-2016 14:57,23-05-2018 11:30
119, Mortgage Researchers, People comparing mortgage offers.,26-05-2016 14:57,23-05-2018 11:30
